"State","rate","deaths","reqPermit"
"Alaska","24.5000","180",""
"Alabama","22.9000","1124","true"
"Montana","22.5000","244","true"
"Louisiana","21.7000","1008","true"
"Mississippi","21.5000","632",""
"Missouri","21.5000","1307",""
"Arkansas","20.3000","613",""
"Wyoming","18.8000","113",""
"West Virginia","18.6000","348",""
"New Mexico","18.5000","394","true"
"Tennessee","18.4000","1246","true"
"South Carolina","17.7000","893","true"
"Oklahoma","17.2000","681","true"
"Nevada","16.7000","508","true"
"Idaho","16.4000","280",""
"Kentucky","16.2000","730","true"
"Kansas","16","466",""
"Arizona","15.8000","1134",""
"Georgia","15.4000","1623","true"
"Indiana","15.3000","1016","true"
"Utah","14","410","true"
"North Carolina","13.7000","1430","true"
"Ohio","13.7000","1589","true"
"Colorado","13.4000","779","true"
"North Dakota","13.2000","103",""
"Pennsylvania","12.5000","1636","true"
"Florida","12.4000","2724","true"
"Texas","12.4000","3513","true"
"Maryland","12.3000","742","true"
"Illinois","12.1000","1543","true"
"Oregon","12.1000","528","true"
"South Dakota","11.9000","101","true"
"Virginia","11.9000","1041","true"
"Delaware","11.7000","111","true"
"Maine","11.7000","172",""
"Vermont","11.7000","70",""
"Michigan","11.3000","1138","true"
"Washington","11.1000","849","true"
"Wisconsin","10.6000","624","true"
"New Hampshire","10.4000","146",""
"Iowa","9","293","true"
"Nebraska","8.3000","160","true"
"Minnesota","8.2000","465","true"
"California","7.9000","3184","true"
"New Jersey","5.3000","478","true"
"Connecticut","5.1000","188","true"
"Rhode Island","3.9000","43","true"
"Massachusetts","3.7000","262","true"
"New York","3.7000","772","true"
"Hawaii","2.5000","39",""
